trial_num,iteration,accel_x,accel_y,accel_z,accel_diff,action,change_lane_finished,curr_time,curr_lane,lane_rho_l,lane_theta_l,lane_rho_r,lane_theta_r,follow_enable,free_east,free_north,free_north_east,free_north_west,free_south_east,free_south_west,free_west,distance_to_north,pass_finished,sdc_curr_pos.x,sdc_curr_pos.y,sdc_curr_pos.theta,speed,start_change_lane_on_left,start_change_lane_on_right,steering,success,goal_reached,car_1_pose.x,car_1_pose.y,car_2_pose.x,car_2_pose.y,car_3_pose.x,car_3_pose.y,car_4_pose.x,car_4_pose.y,car_5_pose.x,car_5_pose.y,car_6_pose.x,car_6_pose.y,car_7_pose.x,car_7_pose.y,car_8_pose.x,car_8_pose.y,car_9_pose.x,car_9_pose.y,car_10_pose.x,car_10_pose.y
1,1,0.0,0.0,0.0,0.0,,False,0.0,True,0.0,0.0,0.0,0.0,False,True,True,True,True,True,True,True,0.0,False,19.960259730078786,-1.814846053686069,0.0298763657499636,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,-0.8070555038564086,-4.223787455685004,10.742020901066274,0.7305884781825542,,False,0.38,True,0.0,0.0,0.0,0.0,False,True,True,True,True,False,True,True,0.0,False,19.954451693111114,-1.8066993509622042,0.03091594686477344,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,-0.3751398415103734,-0.2099245363692881,12.628884400240306,0.39973942437270055,,False,0.52,True,371.56662791480267,2.3211953708959574,433.4110143145018,0.8054145761762064,False,True,True,True,True,False,True,True,0.0,False,19.954736915560932,-1.807202655190613,0.030879201080545166,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.5462041118883483,0.5799736511702889,9.145228286380734,0.17462063767974165,,False,0.65,True,368.5806898403698,2.3253307672831403,430.5818591195938,0.803446744875095,False,True,True,True,True,False,True,True,0.0,False,19.95405470007834,-1.8082444163907536,0.03090050884058081,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,-0.09713566980229604,-0.1967371863209464,9.116302606316486,0.0929086416309756,,False,0.78,True,367.87017438822625,2.3325547084529954,431.17372720036286,0.8026222078828078,False,True,True,True,True,False,True,True,0.0,False,19.954531507168884,-1.8078095268275445,0.030898970179100007,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,-0.1269029308213309,-0.004963410024917082,10.065242129148823,0.042335785270736545,,False,0.92,True,369.42819419873786,2.331255246746989,431.972594017329,0.8031817159097248,False,True,True,True,True,False,True,True,0.0,False,19.954676405141008,-1.8078117025039497,0.030897122623572568,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.17074359617908105,0.030245999565025203,9.972050637576388,0.026909509732287087,,False,1.06,True,368.0339173614875,2.328222443696079,463.9540852641303,0.9130117458232379,False,True,True,True,True,False,True,True,0.0,False,19.954365820746208,-1.8078762585421833,0.030898236759013792,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.08393158455995282,-0.009409850978760419,9.730710755689246,0.014427717497918024,,False,1.19,True,368.6206137611393,2.3264263660286235,431.0429156407469,0.8030678419114381,False,True,True,True,True,False,True,True,0.0,False,19.95437689447417,-1.8078568345861419,0.030898127850302992,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,-0.01661892033053331,-0.0006773469409452477,9.771124639009113,0.00685535594944654,,False,1.32,True,367.8751577133737,2.327978298226625,431.6457899285464,0.8030862248417827,False,True,True,True,True,False,True,True,0.0,False,19.95450768051309,-1.8078526711226681,0.03089803229633877,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,0.039333376704949005,0.0013578943414372345,9.83176600037899,0.005260216119631592,,False,1.46,True,369.1589351059396,2.326115267664059,431.47863832991953,0.8035596375991101,False,True,True,True,True,False,True,True,0.0,False,19.9544814198827,-1.8078559607039895,0.030898080506234337,0.0,False,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
